Samples,BDO,VEL,SUB,BAL,TIS
ANI_01dl,0,0,0,0,0
ANI_02dl,0,0,0,0,0
BLA_01dl,0,0,0,0,0
BRE_01tl,0,0,0,0,0
BRE_02tl,0,0,0,0,0
BRE_03tl,0,0,0,0,0
BRE_04tl,0,0,0,0,0
BRE_05tl,0,0,0,0,0
BRE_06tl,0,0,0,0,0
BRE_07tl,0,0,0,0,0
BRE_08tl,0,0,0,0,0
BZD_01tl,0,0,0,0,0
BZD_02tl,0,0,0,0,0
BZD_03tl,0,0,0,0,0
BZD_04tl,0,0,0,0,0
BZD_05tl,0,0,0,0,0
BZD_06tl,0,0,0,0,0
BZD_07tl,0,0,0,0,0
BZD_08tl,0,0,0,0,0
CHE_01dl,0,0,0,0,0
FRE_01tl,0,0,0,0,0
FRE_02tl,0,0,0,0,0
GRO_01dl,0,0,0,0,0
GRO_02dl,0,0,0,0,0
GRO_03dl,0,0,0,0,0
GRO_04dl,0,0,0,0,0
GRO_05dl,0,0,0,0,0
GYE_01tl,0,0,0,0,0
GYE_02tl,0,0,0,0,0
GYE_03tl,0,0,0,0,0
GYE_04tl,0,0,0,0,0
GYE_05tl,0,0,0,0,0
GYE_06tl,0,0,0,0,0
GYE_07tl,0,0,0,0,0
GYE_08tl,0,0,0,0,0
HAB_01tl,0,0,0,0,0
HAB_02tl,0,0,0,0,0
HAB_03tl,0,0,0,0,0
HLY_01dl,0,0,0,0,0
JOH_01tl,0,0,0,0,0
JOH_02tl,0,0,0,0,0
JOH_03tl,0,0,0,0,0
JOH_04tl,0,0,0,0,0
JOH_05tl,0,0,0,0,0
JOH_06tl,0,0,0,0,0
JOH_07tl,0,0,0,0,0
JOH_08tl,0,0,0,0,0
KAG_01tl,0,0,0,0,0
KAG_02tl,0,0,0,0,0
KAG_03tl,0,0,0,0,0
KAR_01dl,0,0,0,0,0
KAR_02dl,0,0,0,0,0
KAR_03dl,0,0,0,0,0
KAR_04dl,0,0,0,0,0
KAR_05dl,0,0,0,0,0
KAR_06dl,0,0,0,0,0
KEH_01tl,0,0,0,0,0
KEH_04tl,0,0,0,0,0
KRK_01tl,0,0,0,0,0
LIC_01tl,0,0,0,0,0
LIC_02tl,0,0,0,0,0
LIC_03tl,0,0,0,0,0
LIC_04tl,0,0,0,0,0
LIC_05tl,0,0,0,0,0
LIC_06tl,0,0,0,0,0
LIC_07tl,0,0,0,0,0
LIC_08tl,0,0,0,0,0
LLA_01dl,0,0,0,0,0
LLB_01dl,0,0,0,0,0
LLC_01tl,0,0,0,0,0
LLD_01tl,0,0,0,0,0
LLE_01dl,0,0,0,0,0
LLF_01tl,0,0,0,0,0
LLG_01tl,0,0,0,0,0
LLH_01dl,0,0,0,0,0
LLI_01dl,0,0,0,0,0
LOI_01tl,0,0,0,0,0
LOI_02tl,0,0,0,0,0
LOI_03tl,0,0,0,0,0
LOM_01dl,0,0,0,0,0
LOM_02dl,0,0,0,0,0
LOM_03dl,0,0,0,0,0
LOM_04dl,0,0,0,0,0
LOM_05dl,0,0,0,0,0
LOM_06dl,0,0,0,0,0
LOM_07dl,0,0,0,0,0
LOM_08dl,0,0,0,0,0
LOM_09dl,0,0,0,0,0
MAL_01dl,0,0,0,0,0
MAL_02dl,0,0,0,0,0
MAL_03dl,0,0,0,0,0
MAL_04dl,0,0,0,0,0
MAU_01tl,0,0,0,0,0
MAU_02tl,0,0,0,0,0
MAU_03tl,0,0,0,0,0
MAY_01dl,0,0,0,0,0
MAY_02dl,0,0,0,0,0
MAY_03dl,0,0,0,0,0
MAY_04dl,0,0,0,0,0
MAY_05dl,0,0,0,0,0
MAY_06dl,0,0,0,0,0
MOD_01tl,0,0,0,0,0
MOD_02tl,0,0,0,0,0
MOD_03tl,0,0,0,0,0
MOD_04tl,0,0,0,0,0
NKM_01dl,0,0,0,0,0
NKM_02dl,0,0,0,0,0
NKM_03dl,0,0,0,0,0
NKM_04dl,0,0,0,0,0
NKM_05dl,0,0,0,0,0
NKM_06dl,0,0,0,0,0
NKM_07dl,0,0,0,0,0
NKM_08dl,0,0,0,0,0
NKM_09dl,0,0,0,0,0
OCH_01tl,0,0,0,0,0
OCH_02tl,0,0,0,0,0
OSL_02dl,0,0,0,0,0
OSL_03dl,0,0,0,0,0
OSL_04dl,0,0,0,0,0
OSL_05dl,0,0,0,0,0
PIL_01tl,0,0,0,0,0
PIL_02tl,0,0,0,0,0
PIL_03tl,0,0,0,0,0
PIN_01dl,0,0,0,0,0
PIZ_02dl,0,0,0,0,0
PIZ_03dl,0,0,0,0,0
PIZ_04dl,0,0,0,0,0
PIZ_05dl,0,0,0,0,0
PIZ_06dl,0,0,0,0,0
PIZ_08dl,0,0,0,0,0
PIZ_09dl,0,0,0,0,0
PIZ_11dl,0,0,0,0,0
PLE_01dl,0,0,0,0,0
PLE_02dl,0,0,0,0,0
PLE_03dl,0,0,0,0,0
PLE_04dl,0,0,0,0,0
PLE_05dl,0,0,0,0,0
PLE_06dl,0,0,0,0,0
PLE_07dl,0,0,0,0,0
PLE_08dl,0,0,0,0,0
PLE_09dl,0,0,0,0,0
PLE_10dl,0,0,0,0,0
PLE_11dl,0,0,0,0,0
POT_01dl,0,0,0,0,0
POT_02dl,0,0,0,0,0
POT_03dl,0,0,0,0,0
POT_04dl,0,0,0,0,0
ROK_01tl,0,0,0,0,0
ROK_02tl,0,0,0,0,0
RON_01dl,0,0,0,0,0
SCB_01tl,0,0,0,0,0
SCB_02tl,0,0,0,0,0
SCT_01tl,0,0,0,0,0
SCT_02tl,0,0,0,0,0
SCT_03tl,0,0,0,0,0
SCT_04tl,0,0,0,0,0
SCT_05tl,0,0,0,0,0
SCT_06tl,0,0,0,0,0
SCT_07tl,0,0,0,0,0
SPN_01dl,0,0,0,0,0
SPN_02dl,0,0,0,0,0
SPN_03dl,0,0,0,0,0
SPN_04dl,0,0,0,0,0
SPN_05dl,0,0,0,0,0
SPN_06dl,0,0,0,0,0
SPN_07dl,0,0,0,0,0
SPN_08dl,0,0,0,0,0
SPN_09dl,0,0,0,0,0
SPN_10dl,0,0,0,0,0
SPN_11dl,0,0,0,0,0
SPN_12dl,0,0,0,0,0
SPN_13dl,0,0,0,0,0
STD_01dl,0,0,0,0,0
STD_02dl,0,0,0,0,0
STD_03dl,0,0,0,0,0
STD_04dl,0,0,0,0,0
STD_05dl,0,0,0,0,0
STD_06dl,0,0,0,0,0
STD_07dl,0,0,0,0,0
STD_08dl,0,0,0,0,0
STO_01dl,0,0,0,0,0
STO_02dl,0,0,0,0,0
STR_01dl,0,0,0,0,0
STR_02dl,0,0,0,0,0
STR_03dl,0,0,0,0,0
STR_04dl,0,0,0,0,0
STR_05dl,0,0,0,0,0
STR_06dl,0,0,0,0,0
STR_07dl,0,0,0,0,0
STR_08dl,0,0,0,0,0
STR_09dl,0,0,0,0,0
STU_01dl,0,0,0,0,0
STU_02dl,0,0,0,0,0
STU_03dl,0,0,0,0,0
STU_04dl,0,0,0,0,0
STU_05dl,0,0,0,0,0
STU_06dl,0,0,0,0,0
SUK_01tl,0,0,0,0,0
SUK_02tl,0,0,0,0,0
SUN_01dl,0,0,0,0,0
SUN_02dl,0,0,0,0,0
SUN_03dl,0,0,0,0,0
SUN_04dl,0,0,0,0,0
SUN_05dl,0,0,0,0,0
SWB_01tl,0,0,0,0,0
SWB_02tl,0,0,0,0,0
TCM_01dl,0,0,0,0,0
TEM_01tl,0,0,0,0,0
TEM_02tl,0,0,0,0,0
TEM_03tl,0,0,0,0,0
TEM_04tl,0,0,0,0,0
TEM_05tl,0,0,0,0,0
TEM_06tl,0,0,0,0,0
TEM_07tl,0,0,0,0,0
TEM_08tl,0,0,0,0,0
VLH_01dl,0,0,0,0,0
VLH_02dl,0,0,0,0,0
VLH_03dl,0,0,0,0,0
VLH_05dl,0,0,0,0,0
VLH_06dl,0,0,0,0,0
VLH_07dl,0,0,0,0,0
VLH_08dl,0,0,0,0,0
VLH_09dl,0,0,0,0,0
VLH_10dl,0,0,0,0,0
VLH_11dl,0,0,0,0,0
VLH_12dl,0,0,0,0,0
DRG_01dh,0,0,0,0,0
DRG_02dh,0,0,0,0,0
DRG_03dh,0,0,0,0,0
DRG_04dh,0,0,0,0,0
DRG_05dh,0,0,0,0,0
DRG_06dh,0,0,0,0,0
DRG_07dh,0,0,0,0,0
DRG_08dh,0,0,0,0,0
GEM_01dh,0,0,0,0,0
GEM_02dh,0,0,0,0,0
GUN_01dh,0,0,0,0,0
GUN_02dh,0,0,0,0,0
GUN_03dh,0,0,0,0,0
GUN_04dh,0,0,0,0,0
GUN_05dh,0,0,0,0,0
GUN_06dh,0,0,0,0,0
GUN_07dh,0,0,0,0,0
GUN_08dh,0,0,0,0,0
GUN_09dh,0,0,0,0,0
GUN_10dh,0,0,0,0,0
GUN_11dh,0,0,0,0,0
GUN_12dh,0,0,0,0,0
GUN_13dh,0,0,0,0,0
GUN_14dh,0,0,0,0,0
GUN_15dh,0,0,0,0,0
GUN_16dh,0,0,0,0,0
GUN_17dh,0,0,0,0,0
GUN_18dh,0,0,0,0,0
GUN_19dh,0,0,0,0,0
GUN_20dh,0,0,0,0,0
GUN_21dh,0,0,0,0,0
GUN_22dh,0,0,0,0,0
GUN_23dh,0,0,0,0,0
HAL_01dh,0,0,0,0,0
HAL_02dh,0,0,0,0,0
HAL_03dh,0,0,0,0,0
HCA_01dh,0,0,0,0,0
HCA_02dh,0,0,0,0,0
HCA_03dh,0,0,0,0,0
HCA_04dh,0,0,0,0,0
HCA_05dh,0,0,0,0,0
HCA_06dh,0,0,0,0,0
HCA_07dh,0,0,0,0,0
HCA_08dh,0,0,0,0,0
HCA_09dh,0,0,0,0,0
HFU_01dh,0,0,0,0,0
HFU_02dh,0,0,0,0,0
HFU_03dh,0,0,0,0,0
HFU_04dh,0,0,0,0,0
HFU_05dh,0,0,0,0,0
HFU_06dh,0,0,0,0,0
HFU_07dh,0,0,0,0,0
HFU_08dh,0,0,0,0,0
HFU_09dh,0,0,0,0,0
HFU_10dh,0,0,0,0,0
HFU_11dh,0,0,0,0,0
HFU_12dh,0,0,0,0,0
HFU_13dh,0,0,0,0,0
HFU_14dh,0,0,0,0,0
HFU_15dh,0,0,0,0,0
HFU_16dh,0,0,0,0,0
HFU_17dh,0,0,0,0,0
HFU_18dh,0,0,0,0,0
HFU_19dh,0,0,0,0,0
HFU_20dh,0,0,0,0,0
HIB_01dh,0,0,0,0,0
HIB_02dh,0,0,0,0,0
HIB_03dh,0,0,0,0,0
HIB_04dh,0,0,0,0,0
HIB_05dh,0,0,0,0,0
HIB_06dh,0,0,0,0,0
HIB_07dh,0,0,0,0,0
HIB_08dh,0,0,0,0,0
HIB_09dh,0,0,0,0,0
HIB_10dh,0,0,0,0,0
HIB_11dh,0,0,0,0,0
HIB_12dh,0,0,0,0,0
HIB_13dh,0,0,0,0,0
HIB_14dh,0,0,0,0,0
HIB_15dh,0,0,0,0,0
HIB_16dh,0,0,0,0,0
HIB_17dh,0,0,0,0,0
HIB_18dh,0,0,0,0,0
HIB_19dh,0,0,0,0,0
HIB_20dh,0,0,0,0,0
HIN_01dh,0,0,0,0,0
HIN_02dh,0,0,0,0,0
HIN_03dh,0,0,0,0,0
HIN_04dh,0,0,0,0,0
HIT_01dh,0,0,0,0,0
HIT_02dh,0,0,0,0,0
HIT_03dh,0,0,0,0,0
HIT_04dh,0,0,0,0,0
HKL_01dh,0,0,0,0,0
HKL_02dh,0,0,0,0,0
HKL_03dh,0,0,0,0,0
HKL_04dh,0,0,0,0,0
HKL_05dh,0,0,0,0,0
HKL_06dh,0,0,0,0,0
HKL_07dh,0,0,0,0,0
HKL_08dh,0,0,0,0,0
HKL_09dh,0,0,0,0,0
HKL_10dh,0,0,0,0,0
HKW_01dh,0,0,0,0,0
HKW_02dh,0,0,0,0,0
HKW_03dh,0,0,0,0,0
HKW_04dh,0,0,0,0,0
HKW_05dh,0,0,0,0,0
HKW_06dh,0,0,0,0,0
HKW_07dh,0,0,0,0,0
HMI_01dh,0,0,0,0,0
HMI_02dh,0,0,0,0,0
HMI_03dh,0,0,0,0,0
HMI_04dh,0,0,0,0,0
HMS_01dh,0,0,0,0,0
HMS_02dh,0,0,0,0,0
HMS_03dh,0,0,0,0,0
HMS_04dh,0,0,0,0,0
HMS_05dh,0,0,0,0,0
HMS_06dh,0,0,0,0,0
HMS_07dh,0,0,0,0,0
